drug	pathway	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	mean					Curcumin
Curcumin	KEGG_hsa00604	0.043608274	0.104831949	0.101243198	0.061735541	0.183281317	0.072503112	0.145002648	0.03577042	0.083023019	0.139039263	0.041504916	0.11032787	0.029978562	0.209044948	0.089614935	0.096700665					
Curcumin	KEGG_hsa05220	0.721492827	0.779180348	0.776474893	0.576461196	0.681850433	0.747376919	0.705652714	0.760398567	0.791136146	0.679641366	0.706724405	0.73346746	0.775618255	0.741289318	0.792423964	0.731279254					
Curcumin	KEGG_hsa01521	0.696955919	0.728341043	0.701594293	0.561150372	0.702315748	0.704174936	0.791419923	0.693270504	0.818863809	0.712460816	0.702215672	0.738669813	0.762041926	0.704386771	0.677823246	0.713045653					
Curcumin	KEGG_hsa05034	0.528759778	0.522010207	0.422489434	0.296718687	0.446250498	0.390078157	0.444154471	0.422190845	0.596785903	0.302459002	0.408446401	0.514372885	0.573158085	0.407647043	0.633043647	0.460571003					
Curcumin	KEGG_hsa00100	0.105145395	0.250196218	0.188624576	0.13061966	0.206965894	0.202483565	0.236763656	0.142352685	0.259887904	0.216476083	0.165451437	0.280220062	0.132243723	0.304577142	0.225324154	0.203155477					
Curcumin	KEGG_hsa00561	0.164723173	0.270307928	0.160393804	0.09712451	0.22957769	0.242213607	0.2377702	0.174151093	0.282972455	0.220236436	0.115011208	0.234458551	0.135139361	0.142179027	0.253748745	0.197333852					
Curcumin	KEGG_hsa01200	0.272447795	0.440748394	0.294149309	0.131575182	0.216269881	0.172718748	0.215394855	0.288562357	0.452219605	0.129400253	0.272897631	0.281255156	0.300222754	0.287286282	0.162101567	0.261149985					
Curcumin	KEGG_hsa04080	0.433294922	0.587859452	0.608840227	0.25814414	0.406412452	0.518917203	0.43804583	0.616857946	0.664538026	0.347946256	0.541742444	0.498501331	0.494632989	0.469209492	0.499999046	0.49232945					
Curcumin	KEGG_hsa03030	0.185597554	0.241898581	0.207655728	0.087931588	0.174319655	0.126742691	0.177246436	0.132788256	0.149049595	0.156857789	0.172885135	0.178212047	0.124933966	0.177394748	0.243854925	0.169157913					
Curcumin	KEGG_hsa04062	0.690579414	0.761207581	0.738847792	0.540766358	0.758199513	0.760590911	0.623342693	0.708087325	0.774533033	0.624456823	0.700029492	0.707449198	0.748167336	0.820334852	0.77002573	0.71510787					
Curcumin	KEGG_hsa03410	0.131796658	0.260668039	0.179053336	0.052440889	0.221169934	0.075354062	0.210734993	0.100907035	0.188315377	0.164761841	0.112514637	0.147145838	0.184463814	0.155280977	0.330600798	0.167680549					
Curcumin	KEGG_hsa04921	0.608805954	0.671405613	0.59570086	0.429998398	0.516889513	0.643115401	0.702494502	0.620287061	0.686324298	0.464160264	0.625972569	0.646993876	0.662659526	0.675535262	0.636373818	0.612447794					
Curcumin	KEGG_hsa04911	0.310432464	0.411406279	0.319602251	0.20811899	0.337695003	0.342476785	0.335004807	0.223961994	0.347849756	0.241046906	0.323129386	0.403618425	0.42765215	0.31739971	0.319857806	0.324616847					
Curcumin	KEGG_hsa05231	0.674149275	0.70446372	0.717969835	0.503370404	0.600294292	0.606357753	0.692063868	0.691933334	0.75974983	0.502639413	0.743290305	0.719399631	0.627191782	0.650917888	0.698003948	0.659453019					
Curcumin	KEGG_hsa00062	0.10515859	0.187168539	0.20629397	0.208333194	0.179349869	0.198455319	0.247873306	0.174234986	0.217233613	0.161285058	0.138077512	0.161145285	0.213798791	0.157584369	0.414841175	0.198055572					
Curcumin	KEGG_hsa04210	0.79917717	0.836329997	0.833670974	0.652734876	0.778786838	0.813447773	0.839390934	0.860153913	0.889943182	0.731180549	0.800680339	0.853826046	0.844271123	0.830381989	0.904006779	0.817865499					
Curcumin	KEGG_hsa05168	0.807812452	0.768440604	0.77085197	0.555090666	0.682789505	0.660073936	0.786750615	0.719949722	0.823375762	0.6165663	0.7746104	0.734497845	0.71305716	0.765078127	0.843067646	0.734800847					
