MOL1	MOL2	CLASS
Fc1c(I)c(F)c(I)c(F)c1I	C(N1C=CN=C1C1=NC=CN1Cc1ccccn1)c1ccccn1	1
Nc1[nH+]cccc1[O-]	COc1cccc(C=[NH+]c2ncccc2O)c1[O-]	1
Nc1ccc(C(O)=O)c(O)c1	c1cncnc1	1
Oc1ccc(cc1)C(=O)c1ccc(O)cc1	c1cc(ccn1)c1ccncc1	1
c1cc(ccn1)c1ccncc1	NC1=NNC(=S)N1	1
C1=CC=C(C=C1)C1=CC=CC=C1	C1C2=CC=CC=C2C2=CC=CC=C12	0
NC(N)=S	C1COCCOCCOCCOCCOCCO1	1
O=N(=O)c1ccc2SC(=Nc3ccncc3)c3cc(ccc3SC(=Nc3ccncc3)c2c1)N(=O)=O	Cc1ccc(cc1)C(O)=O	1
c1cnc2ccc3ncccc3c2c1	OC(=O)c1ccc(cc1)C(O)=O	1
OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	NC(=O)c1ccccc1O	1
C1N2CN3CN1CN(C2)C3	Cc1cc(O)cc(O)c1	1
NC(N)=O	Clc1ccc(cc1)C=Cc1ccncc1	1
Clc1ccc([NH+]=Nc2c([O-])ccc3ccccc23)cc1	N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N	1
OC(=O)c1cc(ccc1Cl)N(=O)=O	O=C(c1ccccc1)c1ccncc1	1
ON=C1C(=O)NC(=O)NC1=O	NN1C=NN=C1	1
O=C(NCc1ccncc1)C(=O)NCc1ccncc1	Cc1ccccc1C(O)=O	1
CCCCCCCC(O)=O	NC1=CC=C(C=C1)C(O)=O	0
OC(C1OC2(CCCCC2)OC1C(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	OC1CCN(C1)Cc1ccccc1	1
OC(=O)C=CC1=CC=CC=C1	OC(=O)C1=CC=CC=C1	0
CCCC1(O)c2cc(C)ccc2C(=O)C1=C1C(=O)c2ccc(C)cc2C1(O)CCC	CCCC1(O)c2ccc(C)cc2C(=O)C1=C1C(=O)c2cc(C)ccc2C1(O)CCC	1
C1CNCCN1	CC1(C)CC(C)(c2ccc(O)cc2)c2ccccc2O1	1
OC(=O)CCCC(O)=O	NC1=NN=CS1	1
OC(c1ccccc1)=C(C=C(C#N)C(=O)c1ccccc1)C#N	C1CCNCC1	1
Oc1ccc(cc1)C(c1ccccc1O)c1ccccc1O	c1cnccn1	1
