drug	pathway
Ginsenoside Ro	KEGG_hsa04730	1
Ginsenoside Ro	KEGG_hsa00072	1
Ginsenoside Ro	KEGG_hsa05412	1
Ginsenoside Ro	KEGG_hsa04917	1
Ginsenoside Ro	KEGG_hsa04931	1
Ginsenoside Ro	KEGG_hsa04659	1
Ginsenoside Ro	KEGG_hsa04919	1
Ginsenoside Ro	KEGG_hsa04137	1
Ginsenoside Ro	KEGG_hsa03015	1
Ginsenoside Ro	KEGG_hsa04660	1
Ginsenoside Ro	KEGG_hsa00500	1
Ginsenoside Ro	KEGG_hsa05230	1
Ginsenoside Ro	KEGG_hsa00604	1
Ginsenoside Ro	KEGG_hsa00240	1
Ginsenoside Ro	KEGG_hsa00592	1
Ginsenoside Ro	KEGG_hsa04540	1
Ginsenoside Ro	KEGG_hsa03420	1
Ginsenoside Ro	KEGG_hsa05217	1
Ginsenoside Ro	KEGG_hsa04120	1
Ginsenoside Ro	KEGG_hsa05211	1
Ginsenoside Ro	KEGG_hsa00532	1
Ginsenoside Ro	KEGG_hsa03320	1
Ginsenoside Ro	KEGG_hsa04152	1
Piracetam	KEGG_hsa04614	1
Piracetam	KEGG_hsa01521	1
Piracetam	KEGG_hsa01523	1
Piracetam	KEGG_hsa01522	1
Piracetam	KEGG_hsa04010	1
Piracetam	KEGG_hsa05418	1
Piracetam	KEGG_hsa00900	1
Piracetam	KEGG_hsa00220	1
Piracetam	KEGG_hsa04110	1
Piracetam	KEGG_hsa04144	1
Piracetam	KEGG_hsa04260	1
Piracetam	KEGG_hsa04916	1
Piracetam	KEGG_hsa05162	1
Piracetam	KEGG_hsa05131	1
Piracetam	KEGG_hsa04977	1
Piracetam	KEGG_hsa00350	1
Piracetam	KEGG_hsa04728	1
Piracetam	KEGG_hsa04550	1
Piracetam	KEGG_hsa00250	1
Piracetam	KEGG_hsa05016	1
Piracetam	KEGG_hsa05134	1
Piracetam	KEGG_hsa04924	1
Piracetam	KEGG_hsa00410	1
Piracetam	KEGG_hsa03450	1
Piracetam	KEGG_hsa00071	1
Piracetam	KEGG_hsa04933	1
Piracetam	KEGG_hsa03410	1
Piracetam	KEGG_hsa03010	1
Piracetam	KEGG_hsa05146	1
Piracetam	KEGG_hsa03013	1
Piracetam	KEGG_hsa04510	1
Piracetam	KEGG_hsa04972	1
Piracetam	KEGG_hsa05161	1
Piracetam	KEGG_hsa00650	1
Piracetam	KEGG_hsa00190	1
Piracetam	KEGG_hsa05332	1
Piracetam	KEGG_hsa04810	1
Piracetam	KEGG_hsa05231	1
Piracetam	KEGG_hsa05164	1
Piracetam	KEGG_hsa03040	1
Piracetam	KEGG_hsa04668	1
Piracetam	KEGG_hsa04974	1
Piracetam	KEGG_hsa00061	1
Piracetam	KEGG_hsa04912	1
Piracetam	KEGG_hsa04962	1
Piracetam	KEGG_hsa00232	1
Piracetam	KEGG_hsa00770	1
Piracetam	KEGG_hsa05215	1
Piracetam	KEGG_hsa05321	1
Piracetam	KEGG_hsa04960	1
Piracetam	KEGG_hsa01212	1
Piracetam	KEGG_hsa05222	1
Piracetam	KEGG_hsa05410	1
Piracetam	KEGG_hsa04530	1
Piracetam	KEGG_hsa04210	1
Piracetam	KEGG_hsa04310	1
Piracetam	KEGG_hsa05020	1
Piracetam	KEGG_hsa04721	1
Piracetam	KEGG_hsa00565	1
Piracetam	KEGG_hsa00670	1
Piracetam	KEGG_hsa00790	1
Piracetam	KEGG_hsa04066	1
Piracetam	KEGG_hsa01524	1
Piracetam	KEGG_hsa04371	1
Piracetam	KEGG_hsa03460	1
Piracetam	KEGG_hsa00010	1
Piracetam	KEGG_hsa04630	1
Piracetam	KEGG_hsa00760	1
Piracetam	KEGG_hsa00270	1
Piracetam	KEGG_hsa04920	1
Piracetam	KEGG_hsa04670	1
Piracetam	KEGG_hsa04360	1
Piracetam	KEGG_hsa00620	1
Piracetam	KEGG_hsa03018	1
Piracetam	KEGG_hsa00630	1
Piracetam	KEGG_hsa00562	1
Piracetam	KEGG_hsa00740	1
Piracetam	KEGG_hsa04940	1
Piracetam	KEGG_hsa03430	1
Piracetam	KEGG_hsa04392	1
Piracetam	KEGG_hsa05224	1
Piracetam	KEGG_hsa04662	1
Piracetam	KEGG_hsa05100	1
Piracetam	KEGG_hsa00603	1
Piracetam	KEGG_hsa04140	1
Piracetam	KEGG_hsa04015	1
Piracetam	KEGG_hsa00062	1
Piracetam	KEGG_hsa00100	1
Piracetam	KEGG_hsa04666	1
Piracetam	KEGG_hsa04080	1
Piracetam	KEGG_hsa05216	1
